id;name;players;min_age;duration;categories;difficulty;rating;description;review;external_link;pros;cons;featured;image;rules_file;rules_sections;;;;;;;;;;;;
24;Desierto Prohibido;2-may;10;45;Cooperativo, Familiar, Aventura;Medio;7.1;Una tormenta de arena os ha estrellado en medio del desierto. En este juego cooperativo, los jugadores deben trabajar juntos para encontrar las piezas de una legendaria máquina voladora y escapar antes de que la tormenta los entierre para siempre.;Un excelente juego cooperativo que sigue la estela de 'Pandemic'. La gestión del agua y el movimiento constante de la tormenta crean una sensación de urgencia y peligro muy bien conseguida.;https://boardgamegeek.com/boardgame/136063/forbidden-desert;Muy temático y tenso,Gran experiencia cooperativa,Componentes de calidad;Puede ser difícil de ganar,El azar puede ser cruel;false;/images/games/desierto-prohibido.jpg;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Encontrar las 4 piezas de la nave y escapar juntos antes de que se cumpla una de las condiciones de derrota.""},{""title"": ""El Tablero Cambiante"", ""content"": ""El desierto es un tablero modular que se va cubriendo de arena. Si una loseta se entierra demasiado, se bloquea permanentemente.""},{""title"": ""La Tormenta"", ""content"": ""Al final de cada turno, se roban cartas de tormenta que mueven el ojo de la tormenta, añaden arena y pueden hacer que los jugadores pierdan agua.""},{""title"": ""Condiciones de Derrota"", ""content"": ""Se pierde si un jugador se queda sin agua, si la tormenta se vuelve demasiado fuerte o si se agota la arena.}]""";;;;;;;;;;;;
25;Fantasma Blitz;2-ago;8;20;Party, Habilidad, Percepción Visual;Fácil;6.7;Un juego de reconocimiento de formas y colores ultrarrápido que pondrá a prueba tus reflejos. ¿Serás el más rápido en coger el objeto correcto cuando se revele una carta?;Un party game genial que funciona a todas las edades. Es muy fácil de explicar y las partidas son un caos de manos intentando coger el objeto correcto. Las risas están aseguradas, sobre todo con los errores.;https://boardgamegeek.com/boardgame/83195/ghost-blitz;Muy divertido y dinámico,Para todas las edades,Pone a prueba los reflejos;Puede frustrar a jugadores menos rápidos;false;/images/games/fantasma-blitz.jpeg;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Ser el jugador con más cartas al final de la partida.""},{""title"": ""Cómo Jugar"", ""content"": ""Se colocan cinco objetos de madera en el centro. Se revela una carta y todos intentan coger el objeto correcto.""},{""title"": ""¿Qué Objeto Coger?"", ""content"": ""- Si la carta muestra un objeto con su color real, se coge ese objeto. \n- Si no, se coge el objeto que no está representado ni en forma ni en color.""},{""title"": ""Errores"", ""content"": ""Si coges un objeto incorrecto, debes dar una de tus cartas ganadas como penalización.}]""";;;;;;;;;;;;
26;Love Letter;2-jun;10;20;Cartas, Deducción, Party;Fácil;7.2;Un juego de riesgo, deducción y suerte. Tu objetivo es conseguir que tu carta de amor llegue a la Princesa Annette mientras desvías las cartas de los demás pretendientes. Con solo 16 cartas, crea una experiencia de juego profunda.;Increíble cómo con tan pocas cartas se consigue un juego tan redondo. Cada turno es una decisión importante. Es el filler perfecto: se explica en un minuto, se juega en cinco y siempre quieres otra ronda.;https://boardgamegeek.com/boardgame/129622/love-letter;Minimalista y elegante,Rápido y muy rejugable,Mucha deducción en poco tiempo;La eliminación de jugadores puede no gustar,El azar es un factor importante;false;;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Ganar un número determinado de rondas (tokens de afecto).}";;;;;;;;;;;;
27;Carcassonne;2-may;7;40;Familiar, Estrategia, Colocación de Losetas;Fácil;7.4;Juego de colocación de losetas donde los jugadores crean el paisaje de la campiña francesa, reclamando ciudades, caminos, monasterios y granjas para sumar puntos. Una mezcla de estrategia y suerte.;Un clásico atemporal. Es muy satisfactorio ver cómo se construye el mapa en la mesa. Tiene una mezcla perfecta de sencillez, estrategia y un poco de interacción al competir por las estructuras.;https://boardgamegeek.com/boardgame/822/carcassonne;Fácil de aprender, pero con profundidad,Visualmente atractivo,Relajante y estratégico;El azar en el robo de losetas puede ser clave,La puntuación de los granjeros puede ser confusa para novatos;false;;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Conseguir más puntos de victoria que los demás jugadores.""},{""title"": ""Turno del Jugador"", ""content"": ""En tu turno: 1. Robas y colocas una loseta de terreno. 2. Puedes colocar un 'meeple' (seguidor) en esa loseta para reclamar una ciudad, camino, etc.""},{""title"": ""Puntuación"", ""content"": ""Se puntúa durante la partida al completar estructuras y al final por las estructuras incompletas y los granjeros.""},{""title"": ""Fin del Juego"", ""content"": ""Termina cuando se han colocado todas las losetas. El jugador con más puntos gana.}]""";"{""""title"""": """"Desarrollo del Turno""""";" """"content"""": """"En tu turno: 1. Robas una carta. 2. Eliges una de las dos cartas de tu mano";" la juegas y aplicas su efecto.""""}";"{""""title"""": """"Fin de la Ronda""""";" """"content"""": """"Una ronda termina si solo queda un jugador o si el mazo se agota. Gana el jugador que quede en pie o el que tenga la carta de mayor valor.""}]""";;;;;;;
28;Selfish: Space Edition;2-may;8;20;Party, Cartas, Take That;Fácil;6.5;En este juego de cartas, eres un astronauta varado en el espacio y tu objetivo es ser el primero en llegar a la nave de rescate. Usa suministros, sabotea a tus rivales y ten cuidado con los peligros del cosmos. ¡Solo el más egoísta sobrevivirá!;Un juego de 'sálvese quien pueda' muy divertido y temático. La gestión del oxígeno y las cartas de sabotaje crean un ambiente de paranoia y risas. Ideal para grupos a los que les guste la interacción directa.;https://boardgamegeek.com/boardgame/232230/selfish-space-edition;Mucha interacción y sabotaje,Temático y divertido,Reglas sencillas;Mucho azar,Puede ser frustrante si todos van a por ti;false;;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Ser el primer jugador en llegar a la Nave de Rescate.""},{""title"": ""Gestión del Oxígeno"", ""content"": ""Debes gastar una carta de oxígeno al final de cada turno para sobrevivir. Si te quedas sin oxígeno, estás eliminado.""},{""title"": ""Acciones"", ""content"": ""Juega cartas para avanzar, robar oxígeno a otros, desviar agujeros de gusano o defenderte de los ataques.""},{""title"": ""Fin del Juego"", ""content"": ""El primer jugador que llega a la carta 'Nave de Rescate' gana.}]""";;;;;;;;;;;;
29;Sushi Go!;2-may;8;15;Familiar, Cartas, Draft;Fácil;7;Un rápido y divertido juego de 'drafting' de cartas. Elige una carta de sushi de tu mano, pasa el resto al siguiente jugador y trata de hacer las mejores combinaciones de platos para obtener la mayor puntuación.;La introducción perfecta a la mecánica de draft. Es rápido, adorable y muy fácil de jugar. La estrategia reside en fijarte en lo que cogen los demás para intentar adivinar qué cartas te llegarán.;https://boardgamegeek.com/boardgame/133473/sushi-go;Excelente introducción al draft,Partidas muy rápidas,Adorables ilustraciones;El azar es importante,Poca profundidad para jugadores expertos;false;;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Acumular la mayor cantidad de puntos creando combinaciones de sushi a lo largo de tres rondas.""},{""title"": ""Drafting de Cartas"", ""content"": ""Todos los jugadores eligen una carta de su mano y la juegan, pasando el resto de cartas al jugador de al lado.""},{""title"": ""Puntuación"", ""content"": ""Al final de cada ronda, se puntúan las combinaciones de cartas jugadas (makis, tempuras, sashimis, etc.).}";;;;;;;;;;;;
30;Saboteur;3-oct;8;30;Party, Roles Ocultos, Faroleo;Fácil;6.6;Juego de roles ocultos donde los jugadores son enanos mineros en busca de oro. Pero cuidado, algunos son saboteadores que intentarán impedir que los mineros leales lleguen al tesoro.;Un juego de roles ocultos ideal para grupos grandes. La paranoia de no saber quién es un saboteador y ver cómo los túneles no llevan a ninguna parte es muy divertida. Las risas están garantizadas cuando se revelan los roles.;https://boardgamegeek.com/boardgame/9220/saboteur;Funciona muy bien con grupos grandes,Mucha interacción y faroleo,Fácil de explicar;La distribución de roles puede desequilibrar la partida,Puede ser caótico;false;;;"[{""title"": ""Objetivo del Juego"", ""content"": ""- **Mineros:** Construir un camino hasta la pepita de oro. \n- **Saboteadores:** Impedir que los mineros lleguen al oro antes de que se acabe el mazo.""},{""title"": ""Turno del Jugador"", ""content"": ""Puedes jugar una carta de túnel, jugar una carta de acción (romper o reparar herramientas, ver el destino) o descartar una carta.""},{""title"": ""Fin de la Ronda"", ""content"": ""La ronda termina cuando se llega al oro o cuando nadie puede jugar. El equipo ganador recibe oro como puntos.""},{""title"": ""Fin del Juego"", ""content"": ""Tras tres rondas, el jugador con más oro gana.}]""";"{""""title"""": """"Fin del Juego""""";" """"content"""": """"Después de tres rondas";" el jugador con la puntuación total más alta es el ganador.""}]""";;;;;;;;;
31;Zombie Kittens;2-may;7;15;Party, Cartas, Familiar;Fácil;6.8;Una nueva versión independiente de Exploding Kittens que introduce una nueva mecánica: los jugadores que explotan pueden volver al juego. ¡La muerte ya no es el final!;Añade una capa interesante al juego original, eliminando la eliminación de jugadores, lo que puede ser un punto a favor para muchos grupos. La posibilidad de volver como zombi y molestar a los vivos es divertida.;https://boardgamegeek.com/boardgame/360930/zombie-kittens;Evita la eliminación de jugadores,Añade una nueva mecánica divertida,Se puede combinar con el original;Sigue siendo muy dependiente del azar;false;;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Ser el último jugador vivo en la partida.""},{""title"": ""Novedad: Zombificación"", ""content"": ""Cuando explotas, si tienes una carta de Zombie Kitten en tu mano, en lugar de quedar eliminado, la descartas y vuelves a la vida.""},{""title"": ""Ataques a los Zombis"", ""content"": ""Los jugadores vivos pueden usar cartas para obligar a los jugadores zombis a robar cartas. Si un zombi roba un Exploding Kitten, queda eliminado permanentemente.}]""";;;;;;;;;;;;
32;Taco Cat Goat Cheese Pizza;2-ago;8;10;Party, Habilidad, Percepción Visual;Fácil;6.6;Un juego de cartas frenético y de percepción. Los jugadores se turnan para poner una carta en el centro mientras dicen la secuencia 'Taco', 'Gato', 'Cabra', 'Queso', 'Pizza'. Si la carta coincide con la palabra, ¡todos deben poner la mano en el montón!;Pura y simple diversión caótica. Es imposible no reírse con este juego. Es perfecto para romper el hielo y para jugar con gente de todas las edades. Las cartas especiales añaden un plus de locura.;https://boardgamegeek.com/boardgame/252991/taco-cat-goat-cheese-pizza;Extremadamente fácil y rápido,Muy divertido y caótico,Para todas las edades;Cero estrategia, solo reflejos;false;;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Ser el primer jugador en deshacerse de todas sus cartas.""},{""title"": ""Cómo Jugar"", ""content"": ""Por turnos, los jugadores juegan una carta mientras recitan la secuencia 'Taco, Gato, Cabra, Queso, Pizza'.""},{""title"": ""¡Manotazo!"", ""content"": ""Cuando la carta jugada coincide con la palabra dicha, todos deben golpear la pila central. El último en hacerlo se lleva todas las cartas.""},{""title"": ""Cartas Especiales"", ""content"": ""Obligan a hacer un gesto antes de golpear la pila, añadiendo más caos.}]""";;;;;;;;;;;;
33;The Mind;2-abr;8;15;Cooperativo, Cartas, Party;Fácil;6.8;Un experimento cooperativo donde los jugadores deben jugar cartas de su mano en orden ascendente sin comunicarse de ninguna manera. ¿Podrán sincronizar sus mentes para superar todos los niveles?;Más que un juego, es una experiencia. La sensación de sincronía cuando el equipo consigue jugar varias cartas seguidas en orden es increíble. Genera una tensión y una concentración únicas.;https://boardgamegeek.com/boardgame/244992/mind;Experiencia de juego única,Fomenta la conexión en grupo,Reglas muy simples;Puede frustrar si el grupo no conecta,No es un juego de estrategia convencional;false;;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Superar un número determinado de niveles jugando todas las cartas en orden ascendente.""},{""title"": ""La Regla de Oro"", ""content"": ""No se permite ningún tipo de comunicación sobre las cartas.""},{""title"": ""Niveles y Vidas"", ""content"": ""En cada nivel se reparte una carta más a cada jugador. El equipo tiene un número limitado de vidas, que se pierden si se juega una carta fuera de orden.}]""";;;;;;;;;;;;
34;Regicide;1-abr;10;20;Cooperativo, Cartas, Fantasía;Medio;7.5;Un juego de cartas cooperativo y de fantasía que se juega con una baraja de póker estándar. Los jugadores trabajan juntos para derrotar a 12 poderosos enemigos (J, Q, K).;Un juego increíblemente bien diseñado que convierte una simple baraja de póker en una aventura cooperativa desafiante. Cada palo tiene un poder y la gestión de la mano es crucial. Muy recomendable.;https://boardgamegeek.com/boardgame/307024/regicide;Usa una baraja de póker estándar,Desafiante y estratégico,Funciona bien en solitario y en grupo;Puede ser muy difícil,Requiere pensar bien cada jugada;false;;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Derrotar a los 12 miembros de la realeza (J, Q, K) antes de que el mazo se agote.""},{""title"": ""Ataque y Daño"", ""content"": ""Los jugadores juegan cartas para atacar al enemigo. El valor de la carta es el daño infligido.""},{""title"": ""Poder de los Palos"", ""content"": ""Cada palo tiene un poder especial: Picas (escudo), Corazones (curación), Tréboles (doble daño), Diamantes (robar cartas).}";;;;;;;;;;;;
35;Oh My Park!;2-may;8;10;Familiar, Cartas, Draft;Fácil;6.7;Construye el parque de atracciones más divertido y compite contra tus rivales para que sea el mejor. Utiliza tus cartas para crear tu propio parque, eligiendo bien las atracciones y los servicios.;Un filler de draft y colocación de losetas muy apañado. Las reglas de colocación (siempre en orden numérico) le dan un toque de puzle interesante. Rápido, bonito y con decisiones sencillas pero no triviales.;https://boardgamegeek.com/boardgame/380963/oh-my-park;Partidas muy rápidas,Mecánica de draft y puzle,Bonito arte;Puede ser demasiado ligero para algunos;false;;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Ser el jugador con más puntos al final de la partida, construyendo un parque de 3x3 losetas.""},{""title"": ""Desarrollo del Turno"", ""content"": ""En cada una de las 9 rondas, los jugadores eligen una carta, pagan su coste y la colocan en su zona de juego. Luego, pasan las cartas restantes.""},{""title"": ""Reglas de Colocación"", ""content"": ""Las cartas deben colocarse adyacentes a una ya existente y siempre de menor a mayor número, de izquierda a derecha y de arriba a abajo.}]""";"{""""title"""": """"Fin del Juego""""";" """"content"""": """"Los jugadores ganan si derrotan a los 12 enemigos. Pierden si un jugador no puede jugar una carta en su turno.""}]""";;;;;;;;;;
36;Lapsus;2-ago;8;20;Party, Palabras, Cooperativo;Fácil;6.9;Un party game cooperativo donde un jugador es el 'Intérprete' y los demás son 'Creadores'. Los Creadores deben formar palabras con sílabas para que el Intérprete adivine su tema secreto.;Un giro de tuerca a los juegos de palabras. La presión del tiempo y las sílabas limitadas dan lugar a creaciones muy ingeniosas y a situaciones muy cómicas. Fomenta la creatividad y la comunicación no verbal.;https://boardgamegeek.com/boardgame/340945/lapsus;Original y creativo,Muy divertido en grupo,Fomenta el pensamiento lateral;Puede ser frustrante si no se te ocurren palabras;false;;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Como equipo, conseguir la mayor cantidad de puntos adivinando la relación entre palabras y temas.""},{""title"": ""Fase de Creación"", ""content"": ""Durante un minuto, los 'Creadores' usan cartas de sílabas para formar una palabra que represente su tema secreto.""},{""title"": ""Fase de Interpretación"", ""content"": ""El 'Intérprete' debe asignar cada carta de tema a la palabra que cree que le corresponde.}]""";;;;;;;;;;;;
37;Stratego;2;8;45;Estrategia, Abstracto, Deducción;Medio;6.8;Un juego de estrategia clásico de batalla y faroleo. Despliega tu ejército en secreto, protege tu bandera y trata de capturar la bandera de tu oponente. El rango de las piezas es clave, pero cuidado con las bombas y el espía.;Un clásico de la estrategia y el faroleo. La fase de preparación es casi tan importante como la partida en sí. La tensión de mover una pieza sin saber si te vas a encontrar con una bomba o con el Mariscal es fantástica.;https://boardgamegeek.com/boardgame/1917/stratego;Profundidad estratégica,Componente de faroleo y memoria,Clásico atemporal;Solo para dos jugadores,Puede ser lento al principio;false;;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Capturar la bandera del oponente o hacer que no pueda realizar ningún movimiento.""},{""title"": ""Preparación"", ""content"": ""Cada jugador coloca sus 40 piezas en su lado del tablero de forma secreta.""},{""title"": ""Movimiento y Ataque"", ""content"": ""Cuando una pieza se mueve a un espacio ocupado por un oponente, se revelan ambas. La de menor rango es eliminada.""},{""title"": ""Piezas Especiales"", ""content"": ""La Bomba elimina a casi todas las piezas, el Espía puede matar al Mariscal y el Minero desactiva bombas.}]""";;;;;;;;;;;;
38;My City: Roll & Write;1-jun;10;30;Estrategia, Roll & Write, Legacy;Fácil;7.3;Una versión de dados del aclamado juego legacy 'My City'. Cada jugador tiene su propia hoja y, a lo largo de 12 partidas, desarrollará una ciudad única lanzando dados y dibujando edificios.;Consigue capturar la sensación de progreso y evolución del juego original en un formato más rápido y accesible. Es muy satisfactorio ver cómo tu hoja de juego cambia y se añaden nuevas reglas en cada partida.;https://boardgamegeek.com/boardgame/368443/my-city-roll-write;Sensación de progreso (legacy),Adictivo y rejugable,Reglas sencillas que evolucionan;El arte es funcional, sin más;false;;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Obtener la mayor cantidad de puntos de progreso a lo largo de 4 capítulos (12 partidas).}";;;;;;;;;;;;
39;La Tripulación: En busca del noveno planeta;2-may;10;20;Cooperativo, Cartas, Bazas;Fácil;7.9;Un juego de bazas cooperativo en el que los jugadores se embarcan en una aventura espacial. Deben trabajar juntos para completar misiones, pero la comunicación es muy limitada.;Una genialidad. Revoluciona el concepto de los juegos de bazas convirtiéndolo en un puzle cooperativo. Cada una de las 50 misiones es un nuevo reto que pondrá a prueba la astucia del equipo. Imprescindible.;https://boardgamegeek.com/boardgame/284083/crew-quest-planet-nine;Innovador y muy inteligente,Cooperativo real,50 misiones con dificultad creciente;Puede ser frustrante si un jugador comete un error,La comunicación limitada es un reto;false;;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Ganar bazas de una manera específica para cumplir con las condiciones de la misión actual.""},{""title"": ""Juego de Bazas"", ""content"": ""Se juega como un juego de bazas tradicional, pero el objetivo no es llevarse muchas, sino las correctas.""},{""title"": ""Misiones y Tareas"", ""content"": ""Antes de cada misión, se reparten 'cartas de tarea' que obligan a un jugador a ganar una baza específica.""},{""title"": ""Comunicación Limitada"", ""content"": ""Los jugadores no pueden hablar sobre sus cartas, solo pueden usar un token una vez por misión para dar una pista muy concreta.}]""";"{""""title"""": """"Mecánica Roll & Write""""";" """"content"""": """"En cada turno";" se lanzan los dados y todos los jugadores usan el resultado para dibujar un edificio en su hoja.""""}";"{""""title"""": """"Juego Legacy""""";" """"content"""": """"El juego evoluciona a lo largo de 12 partidas"; introduciendo nuevas reglas;" edificios y formas de puntuar.""}]""";;;;;
40;Misión Cumplida;1-abr;8;15;Cooperativo, Cartas, Puzzles;Fácil;6.7;Un juego de cartas cooperativo en el que los jugadores deben cumplir una serie de objetivos comunes, pero con la comunicación limitada. Deberán colocar cartas de colores y números para alcanzar las metas propuestas.;Un puzle cooperativo rápido y desafiante. Es un reto constante de coordinación silenciosa, intentando adivinar las intenciones de tus compañeros para cumplir los objetivos. Funciona muy bien en solitario.;https://boardgamegeek.com/boardgame/256914/cahoots;Desafiante y adictivo,Funciona bien en solitario,Partidas rápidas;La comunicación limitada puede frustrar,El azar puede poner las cosas muy difíciles;false;;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Cumplir un número determinado de cartas de Misión como equipo antes de que se agote el mazo.""},{""title"": ""Desarrollo del Turno"", ""content"": ""En tu turno, juegas una de tus cartas sobre una de las 4 pilas centrales, coincidiendo en color o número.""},{""title"": ""Cumplir Misiones"", ""content"": ""Las misiones se cumplen cuando las cartas superiores de las 4 pilas coinciden con los requisitos de una carta de Misión (ej: 'todas rojas', 'suman 10').}]""";;;;;;;;;;;;
41;Misión Secreta;4-oct;10;20;Party, Roles Ocultos, Deducción;Fácil;6.4;Un juego de roles ocultos semi-cooperativo. Los jugadores son Ingenieros que intentan construir un robot, pero entre ellos hay Impostores que buscan sabotear la misión. ¿Podrás descubrir en quién confiar?;Un juego de roles ocultos muy accesible y rápido. La mecánica de aportar cartas boca abajo a los módulos genera mucha desconfianza y da pie a debates y acusaciones. Ideal para grupos grandes.;https://boardgamegeek.com/boardgame/289906/mision-secreta;Fácil de aprender,Ideal para grupos grandes,Genera mucha paranoia divertida;Puede ser un poco simple para jugadores expertos en roles ocultos;false;;;"[{""title"": ""Objetivo del Juego"", ""content"": ""- **Ingenieros:** Completar los 4 módulos del robot. \n- **Impostores:** Impedir que el robot se complete antes de que se acabe el mazo.""},{""title"": ""Turno del Jugador"", ""content"": ""Juegas una carta de componente boca abajo en uno de los módulos, intentando que coincida con los requisitos.""},{""title"": ""Completar un Módulo"", ""content"": ""Cuando un módulo tiene las cartas necesarias, se revelan. Si son correctas, se completa. Si no, se descartan y se ha perdido un tiempo precioso.}]""";;;;;;;;;;;;
42;Omertà;3-may;10;20;Party, Cartas, Faroleo;Fácil;6.3;En plena Ley Seca, eres el capo de una familia mafiosa. Cuando los Intocables hacen una redada, debes deshacerte de tu alcohol ilegal más rápido que los demás. Un juego de faroleo, deducción y riesgo.;Un juego de memoria y faroleo con una premisa muy divertida. La clave es recordar qué cartas tienes (ya que solo puedes ver dos al principio) e intentar colarles las de mayor valor a tus rivales.;https://boardgamegeek.com/boardgame/347209/omerta;Rápido y con mucha interacción,Componente de memoria y faroleo,Temático;El azar juega un papel importante;false;;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Tener la puntuación más baja al final de la partida.""},{""title"": ""Preparación"", ""content"": ""Cada jugador recibe 4 cartas boca abajo y solo puede mirar 2 de ellas.""},{""title"": ""Declarar Omertà"", ""content"": ""Cuando crees que la suma de tus 4 cartas es 7 o menos, puedes declarar 'Omertà'. Todos revelan sus cartas y se puntúa.}]""";;;;;;;;;;;;
43;Unstable Unicorns;2-ago;10;45;Party, Cartas, Take That;Fácil;6.4;Construye un ejército de unicornios. Empiezas con un bebé unicornio. ¡Pero no te encariñes demasiado, porque ni los bebés unicornio están a salvo en este juego! Hay más de 20 unicornios mágicos para coleccionar, y cada uno tiene un poder especial.;Un juego de 'take that' con un arte adorable y mucho caos. El objetivo es construir tu establo de unicornios mientras saboteas sin piedad a tus amigos. Las cartas de 'Relincho' para cancelar acciones son la sal del juego.;https://boardgamegeek.com/boardgame/234190/unstable-unicorns;Arte muy divertido y atractivo,Mucha interacción directa,Caótico y divertido;Puede ser muy largo y frustrante,Alto factor de azar;false;;;"[{""title"": ""Objetivo del Juego"", ""content"": ""Ser el primer jugador en conseguir un número determinado de unicornios en tu Establo.""},{""title"": ""Fases del Turno"", ""content"": ""1. Activar efectos. 2. Robar una carta. 3. Jugar una carta o robar otra. 4. Descartar el exceso.""},{""title"": ""Tipos de Cartas"", ""content"": ""Hay cartas de Unicornio, Mágicas, Mejoras, Desventajas y los importantes 'Relinchos' para cancelar jugadas.}]""";;;;;;;;;;;;
